# H(r.l.u.)	Center(meV)	Stderr(meV)
-6.92391652e-01	1.43393859e+03	6.50645707e-01
-6.28678464e-01	1.43422680e+03	5.35283032e-01
-5.63680675e-01	1.44269438e+03	7.00057580e-01
-4.99503385e-01	1.44582153e+03	8.63389940e-01
-4.40148236e-01	1.44566153e+03	7.18705761e-01
-3.76740377e-01	1.44535001e+03	8.15439311e-01
-3.22253689e-01	1.44206119e+03	7.96774857e-01
-2.59397745e-01	1.44387225e+03	6.17341984e-01
-2.01125515e-01	1.44944756e+03	7.37749576e-01
-1.41613280e-01	1.45440951e+03	6.85964330e-01
-8.12279522e-02	1.47301199e+03	6.73414863e-01
-2.71200261e-02	1.48011719e+03	5.77206983e-01
3.38961600e-02	1.47697707e+03	5.89462294e-01
8.79690082e-02	1.46857240e+03	6.36771261e-01
1.48275632e-01	1.45379561e+03	8.06799712e-01
2.01125515e-01	1.44938130e+03	4.75011431e-01
2.59397745e-01	1.44387932e+03	5.55501867e-01
3.16070701e-01	1.44381806e+03	6.63197528e-01
3.70794976e-01	1.44388507e+03	7.15879837e-01
4.28904336e-01	1.44269734e+03	7.10392615e-01
4.83749474e-01	1.44277175e+03	7.17296652e-01
5.34912988e-01	1.43914876e+03	6.65293155e-01
5.90903353e-01	1.43934765e+03	8.73040525e-01
6.40419658e-01	1.43429887e+03	7.32993028e-01
6.95443933e-01	1.43266959e+03	8.47820281e-01
